1.000000000000000000e+00,2.643367899753771511e+00,5.228303900005298877e-01
2.000000000000000000e+00,2.646129776602347938e+00,5.259961771334357161e-01
3.000000000000000000e+00,2.646950297085814530e+00,5.263528470659649683e-01
4.000000000000000000e+00,2.647002581324596981e+00,5.263752509970921478e-01
5.000000000000000000e+00,2.647003878995104031e+00,5.263759293466824252e-01
6.000000000000000000e+00,2.647001960099671702e+00,5.263752354861794824e-01
7.000000000000000000e+00,2.646999857425535119e+00,5.263744599725959095e-01
8.000000000000000000e+00,2.646997762792631104e+00,5.263736844784177027e-01
9.000000000000000000e+00,2.646995688085154175e+00,5.263729141114404930e-01
1.000000000000000000e+01,2.646993633790196032e+00,5.263721491289549137e-01
1.100000000000000000e+01,2.646991599675565077e+00,5.263713894814917582e-01
1.200000000000000000e+01,2.646989585466579697e+00,5.263706351008503592e-01
1.300000000000000000e+01,2.646987590888955744e+00,5.263698859183568723e-01
1.400000000000000000e+01,2.646985615671477721e+00,5.263691418660131349e-01
1.500000000000000000e+01,2.646983659546125356e+00,5.263684028765607259e-01
1.600000000000000000e+01,2.646981722248068714e+00,5.263676688834761919e-01
1.700000000000000000e+01,2.646979803515589591e+00,5.263669398209614991e-01
1.800000000000000000e+01,2.646977903090068196e+00,5.263662156239337087e-01
1.900000000000000000e+01,2.646976020715921862e+00,5.263654962280178706e-01
2.000000000000000000e+01,2.646974156140585066e+00,5.263647815695349230e-01
2.100000000000000000e+01,2.646972309114450805e+00,5.263640715854943641e-01
2.200000000000000000e+01,2.646970479390835962e+00,5.263633662135852598e-01
2.300000000000000000e+01,2.646968666725951103e+00,5.263626653921653631e-01
2.400000000000000000e+01,2.646966870878846745e+00,5.263619690602547863e-01
2.500000000000000000e+01,2.646965091611391152e+00,5.263612771575251204e-01
2.600000000000000000e+01,2.646963328688208161e+00,5.263605896242911086e-01
2.700000000000000000e+01,2.646961581876674519e+00,5.263599064015033191e-01
2.800000000000000000e+01,2.646959850946839943e+00,5.263592274307387076e-01
2.900000000000000000e+01,2.646958135671434231e+00,5.263585526541914028e-01
3.000000000000000000e+01,2.646956435825797538e+00,5.263578820146657122e-01
3.100000000000000000e+01,2.646954751187855504e+00,5.263572154555673510e-01
3.200000000000000000e+01,2.646953081538092167e+00,5.263565529208955596e-01
3.300000000000000000e+01,2.646951426659499340e+00,5.263558943552341107e-01
3.400000000000000000e+01,2.646949786337549515e+00,5.263552397037437602e-01
3.500000000000000000e+01,2.646948160360161673e+00,5.263545889121551413e-01
3.600000000000000000e+01,2.646946548517673747e+00,5.263539419267607711e-01
3.700000000000000000e+01,2.646944950602787561e+00,5.263532986944056136e-01
3.800000000000000000e+01,2.646943366410557719e+00,5.263526591624808626e-01
3.900000000000000000e+01,2.646941795738353420e+00,5.263520232789171693e-01
4.000000000000000000e+01,2.646940238385812272e+00,5.263513909921753164e-01
4.100000000000000000e+01,2.646938694154821192e+00,5.263507622512396678e-01
4.200000000000000000e+01,2.646937162849490210e+00,5.263501370056107298e-01
4.300000000000000000e+01,2.646935644276093846e+00,5.263495152052980464e-01
4.400000000000000000e+01,2.646934138243069334e+00,5.263488968008127600e-01
4.500000000000000000e+01,2.646932644560979764e+00,5.263482817431603955e-01
4.600000000000000000e+01,2.646931163042456792e+00,5.263476699838340878e-01
4.700000000000000000e+01,2.646929693502209524e+00,5.263470614748081422e-01
